iter	MultiClass
0	1.051471705
1	1.010587866
2	0.975868557
3	0.9458001385
4	0.9195094312
5	0.896772902
6	0.8757705646
7	0.8576622052
8	0.8411577997
9	0.8267086275
10	0.8137667046
11	0.8026897001
12	0.7918925247
13	0.7830300898
14	0.7746288136
15	0.7673362963
16	0.7605688796
17	0.7547520413
18	0.7493366786
19	0.7444184077
20	0.7400549822
21	0.7360937592
22	0.7323232865
23	0.7289806746
24	0.7258350765
25	0.7232213974
26	0.7207054733
27	0.7183289378
28	0.71650685
29	0.7145827031
30	0.7126514361
31	0.7110567264
32	0.7096232168
33	0.708448378
34	0.7069584372
35	0.7057281168
36	0.7047508469
37	0.7039349439
38	0.7031401272
39	0.7021842361
40	0.7014249153
41	0.7006401791
42	0.7000908975
43	0.6997200504
44	0.6992127263
45	0.6986927097
46	0.6983223441
47	0.697656046
48	0.6971364227
49	0.6965555899
50	0.6960448367
51	0.6957220456
52	0.6952820567
53	0.6947954182
54	0.6944661194
55	0.694222617
56	0.6938013436
57	0.6934520731
58	0.6931549535
59	0.6929450483
60	0.6927475409
61	0.6924628324
62	0.692184809
63	0.6918902013
64	0.6915257881
65	0.6911353006
66	0.6909580533
67	0.6907283541
68	0.6904959155
69	0.690297134
70	0.6900017422
71	0.6897521466
72	0.6894522948
73	0.689338272
74	0.6890902364
75	0.6889753005
76	0.6888586381
77	0.6887376345
78	0.688547148
79	0.688423486
80	0.6882640219
81	0.6881407983
82	0.6879551136
83	0.68763393
84	0.6873469134
85	0.6871135294
86	0.6868589032
87	0.6866904013
88	0.6865154187
89	0.6861939539
90	0.6859577148
91	0.6857623627
92	0.6856084313
93	0.6854073066
94	0.6851139233
95	0.6848783763
96	0.6847293581
97	0.6845915326
98	0.6843523945
99	0.6841666203
100	0.6839826717
101	0.6838537114
102	0.6837507187
103	0.6835642765
104	0.6834033025
105	0.6832560706
106	0.6831284406
107	0.6829214212
108	0.6827858081
109	0.6825502794
110	0.6823658815
111	0.68217051
112	0.6819416109
113	0.6817866093
114	0.6816649769
115	0.6814728826
116	0.6813339079
117	0.681147056
118	0.6809662144
119	0.6808084292
120	0.6806922738
121	0.6804589835
122	0.6803745346
123	0.6802648934
124	0.6801307147
125	0.679968591
126	0.6797795481
127	0.6795706378
128	0.6794903698
129	0.6793419711
130	0.6791899679
131	0.6790196501
132	0.6788617448
133	0.6787126695
134	0.6785538371
135	0.6784089701
136	0.6782762625
137	0.678118883
138	0.6778745096
139	0.6776984857
140	0.6774359863
141	0.6772582187
142	0.6770963761
143	0.676903816
144	0.6766847966
145	0.6764530871
146	0.6762332224
147	0.6761161142
148	0.6759369837
149	0.6757702828
150	0.6755937061
151	0.6754185426
152	0.6753043278
153	0.6751416733
154	0.6749269453
155	0.6748053933
156	0.6746754629
157	0.6745333635
158	0.6744351671
159	0.6741871176
160	0.6739912562
161	0.6737416949
162	0.6735855366
163	0.6733754551
164	0.673237672
165	0.6731283613
166	0.6729201078
167	0.6726418157
168	0.6725072513
169	0.6723891348
170	0.6722168044
171	0.6719898546
172	0.6716924164
173	0.6714199215
174	0.6711299677
175	0.6710156138
176	0.6708348304
177	0.6705760509
178	0.6703615156
179	0.6701357131
180	0.6699020835
181	0.6697530839
182	0.6695265956
183	0.6693849652
184	0.6692306127
185	0.6690798355
186	0.6689156471
187	0.6687340136
188	0.6685189628
189	0.6683182203
190	0.66817703
191	0.6680414364
192	0.6679439779
193	0.6678073629
194	0.6676920319
195	0.6675754583
196	0.6674526918
197	0.6672254339
198	0.6671077564
199	0.6670068221
200	0.6668946849
201	0.6666292704
202	0.6665056322
203	0.666346215
204	0.6661570291
205	0.6660052806
206	0.6658746998
207	0.6657203074
208	0.6655590453
209	0.6654115174
210	0.6651809118
211	0.6650295139
212	0.664877914
213	0.6647377277
214	0.6645748343
215	0.664413705
216	0.6642005626
217	0.6640294456
218	0.6638103806
219	0.6636764556
220	0.663465754
221	0.6633316506
222	0.6632002364
223	0.66301469
224	0.6629303729
225	0.6628636456
226	0.6627686288
227	0.6626521182
228	0.662513031
229	0.6623121418
230	0.6621920638
231	0.6620521372
232	0.6619218436
233	0.6615471604
234	0.6614361859
235	0.6612229426
236	0.6610697528
237	0.6608725796
238	0.6607237302
239	0.6605629354
240	0.6604178053
241	0.6602622907
242	0.660078359
243	0.6599872563
244	0.6598152367
245	0.6596304636
246	0.6594516684
247	0.6593366283
248	0.6591056937
249	0.6589245433
250	0.6588279835
251	0.6586429352
252	0.6584324172
253	0.6582198252
254	0.6580453129
255	0.6578232405
256	0.657681767
257	0.6575327704
258	0.6573639343
259	0.6572102681
260	0.6570224674
261	0.6568442066
262	0.6566714764
263	0.6565890138
264	0.6564060358
265	0.6562776553
266	0.6561155102
267	0.6559835347
268	0.6558829007
269	0.6557047981
270	0.6555621181
271	0.6554108666
272	0.6553266234
273	0.6552505217
274	0.6551221299
275	0.6549005509
276	0.6547695321
277	0.6546181822
278	0.6543878966
279	0.6542576159
280	0.654095128
281	0.6539786967
282	0.6538640028
283	0.6537174715
284	0.6536181801
285	0.6535064857
286	0.6534174224
287	0.6533205047
288	0.6531352625
289	0.6529957436
290	0.6529022338
291	0.6527829667
292	0.6525689301
293	0.6524160766
294	0.6523076298
295	0.6521737862
296	0.6520595157
297	0.6519377559
298	0.6518361055
299	0.6516737258
